Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,type,district,area_comfort
285000.0,3.0,2568.0,4.0,22.0,2014.0,111.0,60.0,35.0,Глибочицька,вулиця,Шевченківський,16.0
63000.0,3.0,900.0,23.0,23.0,2010.0,70.0,34.0,14.0,Глибочицька,вулиця,Шевченківський,22.0
495000.0,3.0,3367.0,14.0,23.0,2014.0,147.0,50.0,40.0,Глибочицька,вулиця,Шевченківський,57.0
122000.0,2.0,1679.0,4.0,9.0,2010.0,68.5,37.0,14.0,Набережно-Рибальська,дорога,Подільський,17.5
143000.0,3.0,1486.0,4.0,9.0,2011.0,68.5,40.0,30.0,Протасів Яр,вулиця,Солом'янський,-1.5
38000.0,1.0,1152.0,4.0,9.0,1970.0,33.0,17.0,8.0,Зодчих,вулиця,Святошинський,8.0
58000.0,3.0,841.0,9.0,9.0,1971.0,69.0,37.0,14.0,Зодчих,вулиця,Святошинський,18.0
229000.0,2.0,3181.0,5.0,6.0,1935.0,72.0,42.0,10.0,Шовковична,вулиця,Печерський,20.0
110000.0,1.0,3333.0,3.0,10.0,1977.0,33.0,20.0,14.0,Шовковична,вулиця,Печерський,-1.0
229000.0,2.0,3181.0,5.0,6.0,1935.0,72.0,42.0,10.0,Шовковична,вулиця,Печерський,20.0
45000.0,1.0,1125.0,11.0,26.0,2010.0,40.0,17.0,10.0,Визволителів,проспект,Дніпровський,13.0
70000.0,3.0,875.0,5.0,6.0,2010.0,80.0,54.0,8.0,Сонячна,вулиця,Шевченківський,18.0
70000.0,3.0,875.0,5.0,6.0,2010.0,80.0,54.0,8.0,Сонячна,вулиця,Дніпровський,18.0
104700.0,1.0,2380.0,14.0,19.0,2020.0,44.0,18.0,11.0,Бульварно-Кудрявська,вулиця,Шевченківський,15.0
46000.0,3.0,767.0,1.0,5.0,1965.0,60.0,40.0,8.0,Перова,бульвар,Дніпровський,12.0
120000.0,2.0,1379.0,20.0,25.0,2013.0,87.0,40.0,20.0,Саперно-Слобідська,вулиця,Голосіївський,27.0
206000.0,3.0,1943.0,18.0,20.0,2008.0,106.0,58.0,14.0,Саперно-Слобідська,вулиця,Голосіївський,34.0
185000.0,3.0,1745.0,18.0,25.0,2014.0,106.0,37.0,14.0,Богданівська,вулиця,Солом'янський,55.0
68800.0,3.0,1110.0,2.0,12.0,1977.0,62.0,40.0,8.0,Богатирська,вулиця,Оболонський,14.0
52000.0,1.0,1238.0,4.0,4.0,2010.0,42.0,17.0,14.0,Богатирська,вулиця,Оболонський,11.0
89332.9,3.0,1146.5,1.0,4.0,2010.0,68.5,37.0,14.0,Богатирська,вулиця,Оболонський,17.5
120000.0,2.0,2400.0,19.0,22.0,2009.0,50.0,37.0,14.0,Білоруська,вулиця,Шевченківський,-1.0
104000.0,1.0,2122.0,13.0,26.0,2015.0,49.0,25.0,14.0,Білоруська,вулиця,Шевченківський,10.0
64980.0,4.0,812.0,4.0,9.0,1969.0,80.0,56.0,7.0,Кольцова,бульвар,Святошинський,17.0
105000.0,2.0,1721.0,12.0,12.0,2008.0,61.0,27.0,26.0,Кольцова,бульвар,Святошинський,8.0
49500.0,2.0,1053.0,5.0,9.0,1969.0,47.0,28.0,7.0,Кольцова,бульвар,Святошинський,12.0
115000.0,2.0,1643.0,13.0,17.0,2014.0,70.0,32.0,12.0,Воскресенська,вулиця,Дніпровський,26.0
145000.0,3.0,1593.0,3.0,25.0,2018.0,91.0,68.0,17.0,Воскресенська,вулиця,Дніпровський,6.0
79000.0,1.0,1775.0,5.0,18.0,2015.0,68.5,37.0,15.0,Комбінатна,вулиця,Дніпровський,16.5
79000.0,1.0,1775.0,5.0,18.0,2015.0,68.5,37.0,15.0,Комбінатна,вулиця,Дніпровський,16.5
45000.0,2.0,1000.0,5.0,5.0,1960.0,45.0,31.0,6.0,Салютна,вулиця,Шевченківський,8.0
115000.0,3.0,1106.0,5.0,9.0,2005.0,104.0,65.0,20.0,Салютна,вулиця,Шевченківський,19.0
95000.0,2.0,1557.0,3.0,5.0,1960.0,61.0,37.0,14.0,Лабораторна,вулиця,"Голосіївський, Печерський",10.0
195000.0,4.0,1931.0,6.0,24.0,2014.0,101.0,70.0,15.0,Оболонський,проспект,Оболонський,16.0
50000.0,1.0,1562.0,9.0,9.0,1977.0,32.0,17.0,7.0,Оболонський,проспект,Оболонський,8.0
1010000.0,4.0,5674.0,23.0,26.0,2017.0,178.0,92.0,22.0,Оболонський,проспект,Оболонський,64.0
130000.0,1.0,3023.0,9.0,26.0,2010.0,43.0,37.0,14.0,Оболонський,проспект,Оболонський,-8.0
160000.0,2.0,2078.0,3.0,26.0,2010.0,77.0,36.0,13.0,Оболонський,проспект,Оболонський,28.0
135000.0,2.0,1776.0,11.0,25.0,2011.0,76.0,45.0,12.0,Коломийський,провулок,Голосіївський,19.0
980000.0,6.0,2761.0,7.0,7.0,2010.0,355.0,320.0,33.0,Срібнокільська,вулиця,Дарницький,2.0
205000.0,3.0,1627.0,23.0,25.0,2010.0,126.0,74.0,14.0,Срібнокільська,вулиця,Дарницький,38.0
139000.0,3.0,1252.0,23.0,36.0,2007.0,111.0,60.0,18.0,Срібнокільська,вулиця,Дарницький,33.0
160000.0,3.0,1250.0,3.0,10.0,2010.0,128.0,69.0,18.0,Срібнокільська,вулиця,Дарницький,41.0
64500.0,3.0,935.0,7.0,9.0,1970.0,69.0,45.0,10.0,Кубанської України,вулиця,Деснянський,14.0
70000.0,2.0,1446.0,6.0,9.0,1968.0,68.5,30.0,8.0,Преображенська,вулиця,Солом'янський,30.5
128000.0,2.0,1829.0,21.0,24.0,2014.0,70.0,30.0,19.0,Преображенська,вулиця,Солом'янський,21.0
46500.0,2.0,1257.0,5.0,5.0,1962.0,37.0,22.0,7.0,Васильківська,вулиця,Голосіївський,8.0
127000.0,2.0,1814.0,7.0,17.0,2002.0,70.0,36.0,15.0,Васильківська,вулиця,Голосіївський,19.0
46500.0,2.0,1257.0,5.0,5.0,1962.0,37.0,22.0,7.0,Васильківська,вулиця,Голосіївський,8.0
1035900.0,5.0,4504.0,4.0,8.0,2016.0,230.0,75.0,78.0,Редутна,вулиця,Печерський,77.0
43000.0,2.0,915.0,1.0,9.0,1971.0,47.0,30.0,7.0,Мінський,провулок,Подільський,10.0
43000.0,2.0,915.0,1.0,9.0,1971.0,47.0,30.0,7.0,Мінський,проспект,Оболонський,10.0
235000.0,4.0,1728.0,8.0,24.0,2007.0,136.0,81.0,17.0,Княжий Затон,вулиця,Дарницький,38.0
105900.0,1.0,1925.0,22.0,26.0,2016.0,55.0,37.0,14.0,Герцена,вулиця,Шевченківський,4.0
105900.0,1.0,1925.0,22.0,26.0,2016.0,55.0,37.0,14.0,Герцена,узвіз,Шевченківський,4.0
105900.0,1.0,1925.0,22.0,26.0,2016.0,55.0,37.0,14.0,Герцена,провулок,Шевченківський,4.0
777500.0,3.0,4494.0,3.0,13.0,2003.0,173.0,111.0,19.0,Паторжинського,вулиця,Шевченківський,43.0
149000.0,1.0,3170.0,3.0,9.0,2010.0,47.0,37.0,14.0,Електриків,вулиця,Подільський,-4.0
149000.0,1.0,3170.0,3.0,9.0,2010.0,47.0,37.0,14.0,Електриків,провулок,Подільський,-4.0
95000.0,1.0,2317.0,14.0,25.0,2018.0,41.0,37.0,14.0,Солом'янська,вулиця,Солом'янський,-10.0
95000.0,1.0,2317.0,14.0,25.0,2018.0,41.0,37.0,14.0,Солом'янська,площа,Солом'янський,-10.0
159000.0,2.0,2446.0,4.0,4.0,1898.0,65.0,15.0,30.0,Шевченка,вулиця,Деснянський,20.0
159000.0,2.0,2446.0,4.0,4.0,1898.0,65.0,15.0,30.0,Шевченка,вулиця,Солом'янський,20.0
159000.0,2.0,2446.0,4.0,4.0,1898.0,65.0,15.0,30.0,Шевченка,провулок,Солом'янський,20.0
159000.0,2.0,2446.0,4.0,4.0,1898.0,65.0,15.0,30.0,Шевченка,вулиця,Дарницький,20.0
159000.0,2.0,2446.0,4.0,4.0,1898.0,65.0,15.0,30.0,Шевченка,провулок,Дарницький,20.0
480000.0,4.0,3200.0,20.0,23.0,2009.0,150.0,84.0,16.0,Шевченка,вулиця,Деснянський,50.0
480000.0,4.0,3200.0,20.0,23.0,2009.0,150.0,84.0,16.0,Шевченка,вулиця,Солом'янський,50.0
480000.0,4.0,3200.0,20.0,23.0,2009.0,150.0,84.0,16.0,Шевченка,провулок,Солом'янський,50.0
